teamName,teamId,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,id,matches,awardedMatches,statisticsType
Arsenal,42,69,34,0,55,546,2,2,0,10,59,8,400,146,13,25,27,110,91,70,188,180,178,320,636,251,12,35,9,28,56.973684210526,18619,16213,87.077716311295,7618,7168,94.092937778945,11767,9229,78.431205914847,842,454,53.919239904988,766,184,24.02088772846,13,598,225,86,1,32,3,3,646,0,9,3602,1794,49.805663520267,2645,1313,49.640831758034,957,481,50.261233019854,4402,80,401,67,3,6,7.0501818181818,2842,5613,6037,11521,58,43,39,1026,118,129,534,515,255,10,28,8,261,263,718,1784,38,2,362,113,230,132,129,120,113,698,3884,7731,6844,14041,83,598,200,1716,405,24638,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Leicester City,31,33,80,3,25,335,2,3,0,8,31,2,227,108,5,8,20,58,45,35,111,131,93,264,569,139,10,22,2,21,45.368421052632,15960,13055,81.798245614035,8525,7634,89.548387096774,8056,5568,69.116186693148,1054,471,44.686907020873,621,147,23.671497584541,3,728,327,135,8,23,4,3,954,6,5,3879,1888,48.672338231503,2779,1375,49.478229578985,1100,513,46.636363636364,4720,63,420,87,0,0,6.7593695271454,4506,8780,8069,16637,128,99,76,750,230,212,751,695,359,6,17,26,269,491,818,1631,61,2,643,197,451,192,230,216,197,640,5872,11374,8808,19431,57,664,325,1730,393,24897,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Brighton & Hove Albion,30,66,59,2,41,533,7,7,2,25,55,9,352,181,8,21,35,110,77,69,191,190,152,338,721,188,13,18,2,16,52.552631578947,17704,15000,84.726615454135,8624,7978,92.509276437848,9784,7215,73.742845461979,1172,589,50.255972696246,704,193,27.414772727273,8,705,315,94,13,16,9,9,748,1,4,3936,1972,50.10162601626,2933,1445,49.26696215479,1003,527,52.542372881356,4742,46,438,78,2,3,6.8930508474576,2595,5471,8018,13372,93,76,58,938,182,117,543,703,353,8,25,11,320,335,826,1907,88,5,427,126,324,103,152,149,126,726,3801,7847,8891,16195,89,605,243,1859,411,24644,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Brentford,50,66,57,3,44,440,5,6,0,10,62,3,338,102,14,28,23,109,83,61,184,148,108,265,558,174,10,28,4,24,47.763157894737,15632,12616,80.706243602866,7776,6962,89.531893004115,8530,5818,68.20633059789,1227,607,49.470252648737,674,164,24.33234421365,8,633,285,156,8,20,1,1,1004,2,7,3619,1861,51.423045040066,2409,1229,51.01701951017,1210,632,52.231404958678,4927,63,320,62,0,1,6.9897247706422,4599,8200,6154,14175,82,64,49,1021,242,179,793,596,282,12,20,14,287,501,772,1832,58,3,647,206,414,233,232,209,206,593,5942,10848,7003,17058,80,602,327,1935,339,24747,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Bournemouth,60,58,46,0,41,581,6,7,1,10,51,6,391,190,9,18,29,106,74,68,202,218,161,294,595,228,23,45,6,40,48.578947368421,15154,12088,79.767718094233,6102,5372,88.036709275647,9884,6913,69.941319303926,1569,658,41.937539834289,832,197,23.677884615385,9,691,351,128,5,17,4,4,986,2,9,4051,1958,48.333744754382,2859,1377,48.163693599161,1192,581,48.741610738255,5227,70,525,97,0,3,6.9754850088183,3288,6410,6881,13145,80,61,47,968,184,146,601,627,326,14,36,12,279,370,824,1998,42,5,487,138,322,165,175,174,138,650,4766,9208,7832,16439,91,686,266,2059,400,24646,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Aston Villa,40,58,51,0,45,484,3,6,0,12,49,7,337,147,10,21,25,114,90,76,170,180,134,327,627,230,16,33,4,29,50.605263157895,16508,14081,85.298037315241,7963,7243,90.958181589853,9149,6963,76.1066783255,903,458,50.719822812846,604,125,20.695364238411,9,637,240,108,13,30,3,2,728,4,10,3580,1841,51.424581005587,2762,1455,52.679217958001,818,386,47.18826405868,4323,55,406,74,2,4,6.9001718213058,3425,7101,6778,13723,82,63,51,826,172,156,683,546,236,8,22,12,347,336,806,1611,93,2,463,105,307,156,198,160,105,685,4553,9291,7352,15960,103,497,299,1698,499,24667,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Nottingham Forest,14,58,46,0,42,463,3,3,0,15,46,11,294,169,13,13,30,78,58,48,166,172,125,259,492,159,9,47,7,41,40.868421052632,12956,10190,78.650818153751,5156,4490,87.083010085337,8421,5850,69.469184182401,1151,505,43.874891398784,621,150,24.154589371981,13,698,322,120,4,20,3,3,1183,10,6,3779,1946,51.495104525007,2636,1368,51.896813353566,1143,578,50.568678915136,4712,91,401,88,2,2,6.9473043478261,4440,8544,7689,16030,73,52,47,857,241,203,886,670,327,17,20,11,265,397,752,1646,36,2,531,150,355,176,205,176,150,557,5942,11384,8370,18868,102,615,323,1775,419,24645,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Wolverhampton,3,54,69,3,42,431,0,0,1,18,42,11,268,163,4,13,35,70,60,43,160,161,110,324,639,148,11,39,8,32,48.078947368421,16402,13561,82.678941592489,8371,7491,89.487516425756,8599,6200,72.101407140365,1305,629,48.199233716475,568,130,22.887323943662,8,801,298,102,6,19,9,7,902,4,8,3921,2001,51.032899770467,2986,1546,51.774949765573,935,455,48.663101604278,4707,62,480,77,2,2,6.8721136767318,3875,7653,7482,14970,93,71,54,766,217,165,714,669,296,13,25,9,308,359,796,1662,76,3,473,138,330,143,161,174,138,684,5221,10219,8218,17723,84,696,244,1911,425,24639,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Fulham,43,54,54,2,44,520,3,4,0,10,48,5,367,153,11,16,26,80,63,48,173,195,152,288,542,203,8,37,3,34,52.368421052632,18013,15229,84.544495642036,8550,7690,89.941520467836,10357,7778,75.098966882302,1478,751,50.811907983762,894,239,26.733780760626,5,679,302,110,9,24,4,3,887,3,5,3627,1859,51.254480286738,2542,1314,51.691581431943,1085,545,50.230414746544,4645,43,432,81,0,2,6.9409246575342,3144,6859,7178,13883,77,63,54,941,172,154,632,565,276,10,17,10,336,307,753,1732,83,3,433,115,308,125,155,163,115,535,4523,9407,7800,16575,66,636,265,1857,359,24550,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Manchester City,17,72,44,2,51,607,3,4,1,21,57,14,386,221,8,34,29,114,91,67,217,216,174,377,678,253,18,30,3,28,61.526315789474,22973,20660,89.931658903931,8863,8304,93.692880514498,14769,12515,84.738303202654,997,579,58.074222668004,659,159,24.12746585736,13,497,229,87,10,25,4,4,587,4,8,3108,1567,50.418275418275,2454,1254,51.100244498778,654,313,47.859327217125,4123,45,287,58,1,2,7.1311320754717,2317,4737,7331,11925,92,69,62,915,123,143,455,450,235,12,21,18,310,279,810,1752,85,2,355,87,269,86,136,132,87,696,3287,6566,8129,14240,87,603,190,1626,382,24789,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
West Ham United,37,46,62,3,29,476,3,3,1,14,40,3,335,141,10,21,12,75,56,50,146,183,147,347,707,152,17,31,4,27,48.631578947368,16891,13962,82.659404416553,8764,7894,90.073026015518,8740,6223,71.201372997712,1314,646,49.162861491629,613,155,25.285481239804,7,654,331,132,10,18,3,3,998,1,11,3968,1986,50.050403225806,2804,1392,49.643366619116,1164,594,51.030927835052,4816,73,443,80,2,3,6.858275862069,4142,7886,7186,14864,104,85,68,789,208,208,811,533,242,6,17,17,298,456,842,1807,55,1,583,175,391,192,221,187,175,752,5570,10627,7960,17776,57,612,311,1801,397,24666,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Ipswich Town,32,36,82,2,26,376,2,2,0,10,27,8,229,147,5,11,19,60,46,40,127,138,111,277,567,145,9,35,6,31,40.289473684211,13462,10827,80.426385381073,7003,6208,88.647722404684,6964,4736,68.006892590465,1156,498,43.079584775087,505,117,23.168316831683,2,589,303,134,14,25,6,6,1069,6,4,3729,1822,48.860284258514,2625,1258,47.92380952381,1104,564,51.086956521739,4481,52,430,89,4,5,6.7322970639033,4884,9224,8466,17510,127,98,77,699,249,180,778,604,323,5,18,19,242,458,830,1834,42,2,607,186,418,189,205,216,186,637,6386,11966,9140,20328,64,572,306,1745,404,24620,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Tottenham Hotspur,33,64,65,4,47,497,3,4,1,13,57,4,358,139,9,21,31,99,75,59,185,172,140,308,733,243,15,45,10,36,54.815789473684,18248,15519,85.04493643139,9043,8142,90.036492314497,9957,7547,75.795922466606,1070,484,45.233644859813,752,170,22.606382978723,6,661,322,123,11,30,3,3,775,5,4,3895,1874,48.11296534018,3023,1446,47.833278200463,872,428,49.082568807339,4893,63,446,71,1,1,6.910701754386,3280,6317,6143,12266,122,95,76,850,206,194,697,598,302,13,23,17,391,384,840,1886,87,3,522,160,371,151,176,186,160,851,4568,8802,6898,15003,85,705,272,1892,483,24898,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Crystal Palace,7,51,51,3,38,516,3,4,1,19,44,5,345,171,6,9,34,106,86,74,186,184,146,209,450,171,13,52,7,45,42.552631578947,14340,11079,77.259414225941,6972,6042,86.660929432014,7973,5182,64.994355951336,1438,610,42.420027816412,605,145,23.96694214876,11,767,334,104,8,11,2,1,1041,5,8,3823,1890,49.437614438922,2661,1369,51.446824502067,1162,521,44.836488812392,4981,74,417,77,3,4,6.9196721311475,3828,8071,8462,16359,96,77,66,854,214,174,716,643,319,8,27,16,342,374,913,1890,47,4,483,147,332,151,181,155,147,580,5397,10964,9293,19541,81,621,293,1962,403,24748,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Manchester United,35,44,54,2,29,528,4,4,2,15,33,9,334,194,4,15,23,82,66,58,175,183,170,252,575,197,15,37,4,33,53.552631578947,18922,15970,84.399112144594,9786,8845,90.384222358471,9766,7280,74.54433749744,1284,675,52.570093457944,630,155,24.603174603175,10,817,358,98,13,13,4,3,725,3,10,3800,1926,50.684210526316,2811,1431,50.907150480256,989,495,50.05055611729,4804,69,403,85,1,3,6.9184668989547,3191,6816,6820,13497,92,66,56,832,181,139,598,723,323,4,16,8,325,311,694,1689,57,3,415,110,289,126,153,152,110,676,4526,9368,7595,16365,71,646,247,1964,371,24549,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Southampton,45,26,86,0,16,343,0,2,0,7,25,0,246,97,6,15,4,59,45,43,111,105,127,312,645,152,13,20,3,18,48.631578947368,17299,14800,85.55407827042,9154,8413,91.905178064234,8693,6515,74.945358334292,885,460,51.977401129944,548,128,23.357664233577,3,652,305,162,19,32,9,7,953,10,9,3713,1855,49.959601400485,2812,1381,49.110953058321,901,474,52.608213096559,4235,49,459,89,0,3,6.7473684210526,4805,8748,7221,15788,156,117,97,711,242,181,758,586,304,2,9,21,311,522,670,1427,49,1,681,201,468,213,224,256,201,688,6032,11110,7825,18177,54,493,297,1724,421,24641,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Chelsea,38,64,43,0,47,595,4,5,2,17,50,11,394,201,9,28,24,120,93,83,218,207,170,326,662,234,21,58,7,51,57.184210526316,19796,17157,86.669024045262,9263,8535,92.140775126849,11196,8769,78.322615219721,1261,669,53.053132434576,663,147,22.171945701357,11,588,272,115,14,31,6,5,654,2,6,3468,1760,50.749711649366,2656,1351,50.865963855422,812,409,50.369458128079,4427,65,436,100,1,2,7.0079279279279,2408,5080,7217,12168,91,73,60,849,139,129,543,536,263,11,31,12,286,285,765,1803,88,2,398,104,274,124,137,157,104,633,3628,7384,7989,14830,97,587,224,1844,444,24788,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Everton,48,42,44,0,27,406,2,2,1,11,33,6,279,127,8,11,20,77,63,54,144,158,104,283,588,154,10,39,4,36,40.605263157895,13351,10530,78.870496592016,5951,5324,89.463955637708,8082,5389,66.679039841623,1294,647,50,682,183,26.83284457478,12,732,345,122,9,16,2,0,1051,7,7,4010,2013,50.199501246883,2809,1386,49.341402634389,1201,627,52.206494587843,4807,81,430,81,1,2,6.9236059479554,3969,8235,8922,16988,82,61,58,885,229,169,731,656,318,8,17,7,235,362,815,1842,51,2,480,135,313,167,175,170,135,695,5424,10934,9729,19932,45,678,289,1825,384,24643,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Newcastle United,39,68,47,2,50,525,5,6,0,14,59,7,376,149,10,10,45,107,81,63,175,197,153,282,580,217,14,48,5,45,51.131578947368,17172,14360,83.624505008153,8097,7360,90.8978634062,9780,7170,73.312883435583,1200,568,47.333333333333,705,170,24.113475177305,13,603,270,117,9,25,2,1,826,5,7,3707,1822,49.150256271918,2726,1321,48.459280997799,981,501,51.070336391437,4752,71,394,68,0,1,6.9718804920914,3568,7311,6365,13525,81,65,57,868,202,151,651,604,298,13,31,16,301,366,834,1980,43,3,473,146,325,148,160,167,146,736,4900,9938,7122,16409,96,704,251,1910,450,24640,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Liverpool,44,86,41,2,65,648,9,9,0,11,79,6,480,168,12,40,32,150,112,92,231,237,180,301,611,252,22,76,14,66,57.921052631579,20108,17348,86.274119753332,8877,8190,92.260898952349,11960,9332,78.026755852843,1413,722,51.096956829441,729,174,23.868312757202,14,642,299,106,7,24,2,1,693,2,4,3471,1708,49.207721117833,2688,1299,48.325892857143,783,409,52.234993614304,4682,60,430,66,1,3,7.069982547993,2585,5136,6866,11899,75,57,49,1065,139,103,500,656,316,11,31,15,320,283,742,1766,96,2,387,96,245,142,150,141,96,660,3794,7459,7660,14619,83,682,239,1857,359,24621,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
